No,year,month,day,hour,pm2.5
43730,2014,12,28,1,393.0
43731,2014,12,28,2,388.0
43732,2014,12,28,3,444.0
43733,2014,12,28,4,334.0
43751,2014,12,28,22,324.0
43752,2014,12,28,23,341.0
43753,2014,12,29,0,362.0
43754,2014,12,29,1,372.0
43755,2014,12,29,2,373.0
43756,2014,12,29,3,372.0
43757,2014,12,29,4,318.0
